Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
99-63,Tar,33.96307,-119.75328,Santa Cruz Island,Training,n/a,22,< 5,-23.5,0.2,3.6,0.97,43,2.1,2.4,0.71,0.14,0.53,0.43,0.77,0.48,0.71,1.9,1.6,0.03,0.1,0.07
99-66,Tar,34.24559,-119.26868,Ventura,Training,n/a,22,< 5,-23.5,0.2,3.6,1,58,2,2.4,0.71,0.14,0.55,0.43,0.75,0.48,0.71,1.9,1.7,0.03,0.1,0.07
99-93,Tar,34.85885,-120.61123,Casmalia,Training,n/a,34,< 5,-23,0.18,2.9,1,161,4.2,4.9,0.57,0.1,0.89,0.29,0.67,0.53,0.71,2.4,0.83,0.02,0.12,0.07
99-98,Tar,35.16839,-120.69602,Shell,Training,n/a,34,< 5,-22.9,0.19,3.9,1.1,157,3.9,4.5,0.59,0.1,0.88,0.31,0.73,0.53,0.71,2.1,1,0.02,0.11,0.07
99-99,Tar,35.16838,-120.69602,Shell,Training,n/a,12,< 5,-23.6,0.56,5.6,1.1,13,0.38,0.4,0.82,0.15,0.25,0.67,0.79,0.32,0.71,1.1,0.37,0.14,0.08,0.18
99-105,Oil,35.19384,-120.61496,Arroyo Grande field,Training,n/a,13,< 5,-21.6,0.27,5.2,1,16,0.71,0.68,0.79,0.39,0.19,0.83,0.97,0.26,0.63,0.95,0.06,0.03,0.12,0.09
99-106,Oil,34.3886,-119.59609,"Hilda-25, Summerland",Training,n/a,12,< 5,-22.6,0.91,3.6,1,1,0.11,0.13,0.98,0.27,0.21,0.67,0.91,0.32,0.56,0.54,0,0.03,0.03,0.29
99-110,Oil,37.30393,-122.29245,S. La Honda field,Training,n/a,13,< 5,-22.7,0.32,5.7,1.1,5,0.22,0.24,0.95,0.34,0.2,0.66,1,0.27,0.77,0.71,0.08,0.05,0.04,0.12
99-129,Seep,34.37554,-119.85364,Coal Oil Point,Training,n/a,12,< 5,0,0.59,6.7,1.2,2,0.29,0.36,0.77,0.24,0.25,0.71,0.85,0.37,0.77,0.88,0.27,0.11,0.05,0.14
00-20,Tar,37.85922,-122.44322,Angel Island,Training,n/a,212,< 5,-22.7,0.28,5.4,1.1,34,1.7,1.7,0.69,0.17,0.42,0.55,0.74,0.47,0.77,1.6,0.69,0.04,0.07,0.08
